"design","scenario","effect_size","group_mean_offsets","sd_per_group","shift_scale","n_vector","distribution","panel","skew","excess_kurtosis","n_per_group","groups","resid_skewness","resid_excess_kurtosis","fisher_power","fisher_mc_se","welch_power","welch_mc_se","mean_power","mean_mc_se","rank_power","rank_mc_se","sw_power","sw_mc_se","gate_power","gate_mc_se","sw_route_welch_probability","sw_route_welch_mc_se","sw_route_rank_probability","sw_route_rank_mc_se","route_rank_probability","route_rank_mc_se","route_fisher_probability","route_fisher_mc_se","route_welch_probability","route_welch_mc_se","mean_route_fisher_probability","mean_route_fisher_mc_se","mean_route_welch_probability","mean_route_welch_mc_se","levene_reject_probability","levene_reject_mc_se","skew_label","n_label"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"30, 30, 30, 30","normal",1,0,0,30,4,-0.0010949524583901,-0.0519799082716406,0.7159,0.00201686484425705,0.70364,0.00204220836547107,0.71602,0.00201660784288865,0.6889,0.00207034678254634,0.70456,0.00204036862551844,0.7166,0.00201536319307464,0.95122,0.000963332877047182,0.04878,0.000963332877047181,0.04878,0.000963332877047181,0.9,0.00134164078649987,0.05122,0.000985865219997135,0.94646,0.00100671215747104,0.05354,0.00100671215747104,0.05354,0.00100671215747104,"Normal distribution
skew = 0; excess kurtosis = 0","n = 30"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"30, 30, 30, 30","F.P.",2,0,6,30,4,-0.000424073065941583,3.78457813958397,0.72046,0.0020069747801106,0.73674,0.00196953889222833,0.72502,0.00199682748178204,0.87876,0.00145973190963272,0.87412,0.00148347042842114,0.87442,0.00148195589408052,0.10724,0.00138375996762444,0.89276,0.00138375996762444,0.89276,0.00138375996762444,0.10052,0.00134473588187421,0.00672,0.000365372182849215,0.93818,0.00107701706207469,0.06182,0.00107701706207469,0.06182,0.00107701706207469,"F.P.
skew = 0
excess kurtosis = 6","n = 30"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"30, 30, 30, 30","F.P.",3,0.5,1,30,4,0.44296429454409,0.720604574301678,0.71618,0.00201626490124686,0.70902,0.00203130814796771,0.71674,0.0020150621449474,0.73602,0.00197126639295657,0.735,0.00197370210518204,0.74056,0.00196025960729695,0.5548,0.00222259739944057,0.4452,0.00222259739944057,0.4452,0.00222259739944057,0.51868,0.00223450691473533,0.03612,0.000834450065612077,0.9375,0.00108253175473055,0.0625,0.00108253175473055,0.0625,0.00108253175473055,"F.P.
skew = 0.5
excess kurtosis = 1","n = 30"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"30, 30, 30, 30","F.P.",4,1,1.6,30,4,0.895240346393375,1.15893508735844,0.72242,0.0020026449690347,0.71558,0.00201754932331282,0.72392,0.00199929904516558,0.7782,0.001857981485376,0.77898,0.00185564091138345,0.77924,0.001854858605932,0.0425,0.000902150209222389,0.9575,0.000902150209222389,0.9575,0.000902150209222389,0.0366,0.000839767110572926,0.0059,0.000342496423338989,0.90374,0.00131904520316781,0.09626,0.00131904520316781,0.09626,0.00131904520316781,"F.P.
skew = 1
excess kurtosis = 1.6","n = 30"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"30, 30, 30, 30","F.P.",5,2,6.6,30,4,1.70784598870147,4.2936744397199,0.72254,0.00200237832788911,0.73494,0.00197384496047689,0.73066,0.00198391514133039,0.93482,0.00110391637002085,0.93482,0.00110391637002085,0.93482,0.00110391637002085,0,0,1,0,1,0,0,0,0,0,0.80768,0.00176257208419968,0.19232,0.00176257208419968,0.19232,0.00176257208419968,"F.P.
skew = 2
excess kurtosis = 6.6","n = 30"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"50, 50, 50, 50","normal",1,0,0,50,4,0.000658263147217363,-0.0310012616286031,0.92332,0.00118995947494022,0.91876,0.00122180245866507,0.92318,0.00119095497479964,0.90724,0.00129734792866062,0.91876,0.00122180245866507,0.92292,0.00119280068410443,0.95264,0.000949916105769346,0.04736,0.000949916105769346,0.04736,0.000949916105769346,0.90148,0.00133277011971307,0.05116,0.000985318774813512,0.94668,0.00100475845455512,0.05332,0.00100475845455512,0.05332,0.00100475845455512,"Normal distribution
skew = 0; excess kurtosis = 0","n = 50"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"50, 50, 50, 50","F.P.",2,0,6,50,4,0.000994198525660269,4.46890419080585,0.91804,0.00122672375374409,0.92166,0.00120168918111132,0.9188,0.00122152822316965,0.98738,0.000499214094352312,0.9871,0.00050465017586443,0.9872,0.000502715824298381,0.0149,0.000541811590869003,0.9851,0.000541811590869004,0.9851,0.000541811590869004,0.0141,0.000527279622211972,8e-04,0.000126440499840834,0.94574,0.00101307307140206,0.05426,0.00101307307140206,0.05426,0.00101307307140206,"F.P.
skew = 0
excess kurtosis = 6","n = 50"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"50, 50, 50, 50","F.P.",3,0.5,1,50,4,0.463442970786438,0.813732750403825,0.92186,0.00120028446961543,0.91878,0.00122166535188651,0.92228,0.00119732703636058,0.93614,0.00109345233458071,0.93588,0.00109552385277547,0.93718,0.00108511425757844,0.35978,0.00214633805165915,0.64022,0.00214633805165915,0.64022,0.00214633805165915,0.33636,0.00211292191242365,0.02342,0.000676335768682982,0.93788,0.00107945454373957,0.06212,0.00107945454373957,0.06212,0.00107945454373957,"F.P.
skew = 0.5
excess kurtosis = 1","n = 50"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"50, 50, 50, 50","F.P.",4,1,1.6,50,4,0.936396878083979,1.31880608999913,0.92298,0.00119237510540937,0.9211,0.00120561013598924,0.92332,0.00118995947494022,0.95328,0.000943792790817984,0.95328,0.000943792790817984,0.95328,0.000943792790817984,0.00106,0.00014552500816011,0.99894,0.000145525008160106,0.99894,0.000145525008160106,0.00088,0.000132606606170281,0.00018,5.99945997569781e-05,0.90394,0.00131781999074229,0.09606,0.00131781999074229,0.09606,0.00131781999074229,"F.P.
skew = 1
excess kurtosis = 1.6","n = 50"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"50, 50, 50, 50","F.P.",5,2,6.6,50,4,1.8118997815528,5.01489117330846,0.92078,0.00120784263544553,0.92566,0.00117314589374042,0.92476,0.0011796520029229,0.9964,0.000267844731141012,0.9964,0.000267844731141012,0.9964,0.000267844731141012,0,0,1,0,1,0,0,0,0,0,0.81034,0.00175322037633607,0.18966,0.00175322037633607,0.18966,0.00175322037633607,"F.P.
skew = 2
excess kurtosis = 6.6","n = 50"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"100, 100, 100, 100","normal",1,0,0,100,4,-2.72823391729624e-08,-0.0160817546664932,0.99894,0.000145525008160106,0.99888,0.000149582458864668,0.99896,0.000144147036043065,0.99854,0.000170755286887406,0.99888,0.000149582458864668,0.99896,0.000144147036043065,0.95044,0.000970606062210617,0.04956,0.000970606062210617,0.04956,0.000970606062210617,0.9006,0.00133805560422577,0.04984,0.000973200641183513,0.94746,0.000997793048682942,0.05254,0.000997793048682942,0.05254,0.000997793048682942,"Normal distribution
skew = 0; excess kurtosis = 0","n = 100"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"100, 100, 100, 100","F.P.",2,0,6,100,4,-0.00251990533502287,5.1094126910985,0.99824,0.000187451455049033,0.99806,0.00019678599543667,0.99824,0.000187451455049033,0.99998,1.999979999901e-05,0.99998,1.999979999901e-05,0.99998,1.999979999901e-05,6e-05,3.46399769053041e-05,0.99994,3.46399769052894e-05,0.99994,3.46399769052894e-05,6e-05,3.46399769053041e-05,0,0,0.94558,0.00101447980364323,0.05442,0.00101447980364323,0.05442,0.00101447980364323,"F.P.
skew = 0
excess kurtosis = 6","n = 100"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"100, 100, 100, 100","F.P.",3,0.5,1,100,4,0.480175128044528,0.901608913018649,0.9986,0.000167214831878034,0.99856,0.000169583395413584,0.99864,0.00016481203839526,0.99916,0.000129560364309456,0.99914,0.000131092364384809,0.99914,0.000131092364384809,0.10288,0.00135864421832943,0.89712,0.00135864421832943,0.89712,0.00135864421832943,0.09632,0.00131941242680217,0.00656,0.000361025384149093,0.94148,0.00104971814883806,0.05852,0.00104971814883806,0.05852,0.00104971814883806,"F.P.
skew = 0.5
excess kurtosis = 1","n = 100"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"100, 100, 100, 100","F.P.",4,1,1.6,100,4,0.965111697606939,1.44289473079179,0.99896,0.000144147036043065,0.99902,0.000139931383184758,0.99904,0.00013849753788425,0.99968,7.99871989758345e-05,0.99968,7.99871989758345e-05,0.99968,7.99871989758345e-05,0,0,1,0,1,0,0,0,0,0,0.90568,0.00130708635980948,0.09432,0.00130708635980948,0.09432,0.00130708635980948,"F.P.
skew = 1
excess kurtosis = 1.6","n = 100"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"100, 100, 100, 100","F.P.",5,2,6.6,100,4,1.89631296426933,5.65718019643886,0.99832,0.000183148988531196,0.99858,0.000168403301630341,0.99862,0.000166017806273908,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0.81188,0.00174774635230631,0.18812,0.00174774635230631,0.18812,0.00174774635230631,"F.P.
skew = 2
excess kurtosis = 6.6","n = 100"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"200, 200, 200, 200","normal",1,0,0,200,4,-0.000727995248742123,-0.00778815496550047,1,0,1,0,1,0,1,0,1,0,1,0,0.9487,0.000986593229249015,0.0513,0.000986593229249015,0.0513,0.000986593229249015,0.90088,0.00133637738382539,0.04782,0.000954287667320499,0.94958,0.00097854814495762,0.05042,0.00097854814495762,0.05042,0.00097854814495762,"Normal distribution
skew = 0; excess kurtosis = 0","n = 200"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"200, 200, 200, 200","F.P.",2,0,6,200,4,0.00114184254918947,5.4763141778257,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0.94812,0.000991851456620396,0.05188,0.000991851456620395,0.05188,0.000991851456620395,"F.P.
skew = 0
excess kurtosis = 6","n = 200"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"200, 200, 200, 200","F.P.",3,0.5,1,200,4,0.490077105318722,0.950093643512203,1,0,1,0,1,0,1,0,1,0,1,0,0.005,0.00031543620591175,0.995,0.00031543620591175,0.995,0.00031543620591175,0.00462,0.000303270690967657,0.00038,8.71614134809664e-05,0.93928,0.00106801761783222,0.06072,0.00106801761783222,0.06072,0.00106801761783222,"F.P.
skew = 0.5
excess kurtosis = 1","n = 200"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"200, 200, 200, 200","F.P.",4,1,1.6,200,4,0.983208415374033,1.52460650984558,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0.90706,0.00129847723430178,0.09294,0.00129847723430178,0.09294,0.00129847723430178,"F.P.
skew = 1
excess kurtosis = 1.6","n = 200"
"balanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"200, 200, 200, 200","F.P.",5,2,6.6,200,4,1.94845315451348,6.11142202842007,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0.8184,0.00172407331630647,0.1816,0.00172407331630647,0.1816,0.00172407331630647,"F.P.
skew = 2
excess kurtosis = 6.6","n = 200"
"unbalanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"5, 8, 12, 15","normal",1,0,0,10,4,-4.33891136304535e-05,-0.159631959600264,0.22532,0.00186842659796953,0.20512,0.00180580057370685,0.2286,0.00187798849836734,0.19606,0.00177550261278321,0.2073,0.00181288008428578,0.23044,0.00188328121320211,0.95062,0.000968933595247889,0.04938,0.000968933595247889,0.04938,0.000968933595247889,0.88294,0.00143775489148881,0.06768,0.00112338254926806,0.92964,0.00114376107994633,0.07036,0.00114376107994633,0.07036,0.00114376107994633,"Normal distribution
skew = 0; excess kurtosis = 0","n = 10"
"unbalanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"5, 8, 12, 15","F.P.",2,0,6,10,4,0.00124359317140852,1.95931953449458,0.24926,0.00193457722719978,0.26052,0.00196290259360978,0.2483,0.00193208234814151,0.30544,0.00205983691781655,0.29468,0.00203884132585152,0.30694,0.00206265768560855,0.55554,0.0022222299988975,0.44446,0.0022222299988975,0.44446,0.0022222299988975,0.50444,0.00223597981386237,0.0511,0.000984771953296803,0.895,0.00137094857671614,0.105,0.00137094857671614,0.105,0.00137094857671614,"F.P.
skew = 0
excess kurtosis = 6","n = 10"
"unbalanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"5, 8, 12, 15","F.P.",3,0.5,1,10,4,0.341457491626218,0.319158825691986,0.22786,0.00187584551815974,0.2372,0.00190229419386172,0.23382,0.00189287193227645,0.22394,0.00186435445342349,0.24,0.00190997382181013,0.24482,0.00192293092751664,0.82916,0.00168317375454823,0.17084,0.00168317375454823,0.17084,0.00168317375454823,0.75772,0.00191614405303985,0.07144,0.00115183615501511,0.9158,0.00124185635240152,0.0842,0.00124185635240152,0.0842,0.00124185635240152,"F.P.
skew = 0.5
excess kurtosis = 1","n = 10"
"unbalanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"5, 8, 12, 15","F.P.",4,1,1.6,10,4,0.711914496224283,0.561176885954877,0.22988,0.00188167577228384,0.27534,0.00199763802727121,0.24018,0.00191046364843721,0.25016,0.00193690461510112,0.27522,0.00199736802617845,0.26614,0.00197640836063805,0.56304,0.00221822432769997,0.43696,0.00221822432769997,0.43696,0.00221822432769997,0.48936,0.00223556163144745,0.07368,0.00116834290856751,0.88526,0.00142530510698587,0.11474,0.00142530510698587,0.11474,0.00142530510698587,"F.P.
skew = 1
excess kurtosis = 1.6","n = 10"
"unbalanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"5, 8, 12, 15","F.P.",5,2,6.6,10,4,1.30527847583559,2.22383988081576,0.24656,0.00192752777619416,0.36562,0.00215379672021294,0.274,0.00199461274436919,0.39952,0.00219045095631014,0.4038,0.00219429059151244,0.40288,0.0021934799091854,0.12558,0.00148195589408052,0.87442,0.00148195589408052,0.87442,0.00148195589408052,0.08172,0.00122508645898973,0.04386,0.000915819855648479,0.786,0.00183414285157945,0.214,0.00183414285157945,0.214,0.00183414285157945,"F.P.
skew = 2
excess kurtosis = 6.6","n = 10"
"unbalanced n, equal SD","four groups with moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","moderate ordered effect: 0, 0.25, 0.50, 0.75 SD","0.00, 0.25, 0.50, 0.75","1.0, 1.0, 1.0, 1.0",1,"10, 16, 24, 30","normal",1,0,0,20,4,0.00246530527546858,-0.0783325504836685,0.44612,0.00222304721317385,0.42062,0.00220770838472838,0.44662,0.00222328844552388,0.4129,0.00220187915199722,0.42342,0.00220968551427573,0.448,0.00222394244529844,0.95008,0.000973940384212504,0.04992,0.000973940384212504,0.04992,0.000973940384212504,0.89388,0.00137737827483956,0.0562,0.00102996660140026,0.94096,0.00105408043715838,0.05904,0.00105408043715838,0.05904,0.00105408043715838,"Normal distribution
skew = 0; excess kurtosis = 0","n = 20"
